Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
United States,84113,141118,69363,61020,126142,88%,65420,57934,120174,89%,3943,3086,5968,78%,36015,56305,88%,12565,25964,84%,3793,5109,93%,,,,,,,1261,11687,85%,11682,20837,93%,104.0,272.0,85%,,,,,,,,,
India,7261,12797,55497,36958,91159,67%,51602,34769,81941,67%,3895,2189,9218,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,694,1083,17977,11583,25555,64%,17316,11081,24417,64%,661,502,1138,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,8568,17085,15582,12521,57742,80%,14552,11768,56105,81%,1030,753,1637,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,209,307,12769,10786,15148,84%,6702,4941,8910,74%,6067,5845,6238,96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,415,625,11353,9446,12930,83%,9065,8106,11514,89%,2288,1340,1416,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,43,67,8513,6954,9215,82%,8494,6945,9195,82%,19,9,20,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,564,693,5720,3610,7319,63%,5535,3481,7079,63%,185,129,240,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,2713,4972,4029,2408,7712,60%,3027,1757,5808,58%,1002,651,1904,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,6208,8881,3538,2589,5088,73%,3222,2380,4637,74%,316,209,451,66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
